cell,longtitude,latitude
14423,-111.944742,33.371511
95674,-111.729392,33.372959
61637,-111.9675263,33.3759463
27660,-111.726176,33.376026
105766,-111.952377,33.378227
31384,-111.91921,33.378952
100870,-112.019253,33.379018
42972,-111.8747445,33.379424
61761,-111.987852,33.37985
45931,-111.77727,33.385647
39332,-111.849728,33.385909
67488,-112.158124,33.389957
42299,-111.943268,33.389988
75502,-111.788445,33.390175
56438,-111.908432,33.390553
29940,-111.673279,33.392054
84372,-111.929009,33.392935
47308,-111.929009,33.393935
102972,-111.870239,33.393253
21538,-111.7018452,33.3951613
1093,-111.760024,33.395334
76584,-111.954015,33.398049
83959,-111.891155,33.398321
25167,-112.146142,33.399061
8193,-111.960488,33.403526
45867,-111.710992,33.405138
80694,-112.071693,33.406712
50560,-111.877133,33.407133
70979,-111.891748,33.407732
67589,-111.910725,33.408854
82244,-111.592025,33.414084
97637,-111.941985,33.414675
65535,-111.929872,33.414704
24929,-111.942059,33.414731
81647,-111.912926,33.416161
41701,-111.831459,33.417045
92918,-111.831459,33.418045
61018,-111.831459,33.417045
12870,-111.831459,33.418045
24262,-111.831459,33.417045
52572,-111.831459,33.418045
86919,-111.831459,33.417045
51077,-111.831459,33.418045
35539,-111.831459,33.417045
37467,-111.831459,33.418045
18957,-111.831459,33.417045
79304,-111.831459,33.418045
24467,-111.831459,33.417045
19048,-111.831459,33.418045
6516,-111.831459,33.417045
60683,-111.831459,33.418045
62245,-111.831459,33.417045
32129,-111.831459,33.418045
95168,-111.831459,33.417045
91716,-111.831459,33.418045
84942,-111.831459,33.417045
100862,-111.93486,33.41936
92124,-111.94635,33.419372
50582,-111.980269,33.422128
10771,-111.8226402,33.4222685
11911,-111.8226402,33.4232685
85578,-111.8226402,33.4222685
45250,-111.8226402,33.4232685
78674,-111.8226402,33.4222685
42690,-111.8226402,33.4232685
27328,-111.8226402,33.4222685
63381,-111.8226402,33.4232685
77746,-111.8226402,33.4222685
54026,-111.8226402,33.4232685
31328,-111.8226402,33.4222685
86753,-111.8226402,33.4232685
58443,-111.8226402,33.4222685
76177,-111.8226402,33.4232685
54921,-111.8226402,33.4222685
54232,-111.8226402,33.4232685
61947,-111.8226402,33.4222685
17103,-111.8226402,33.4232685
29106,-111.8226402,33.4222685
24027,-111.8226402,33.4232685
29988,-111.8226402,33.4222685
8650,-111.8226402,33.4232685
106948,-111.8226402,33.4222685
40224,-111.8226402,33.4232685
94291,-111.8226402,33.4222685
35959,-111.8226402,33.4232685
80003,-111.8226402,33.4222685
6084,-111.8226402,33.4232685
74174,-111.8226402,33.4222685
16402,-111.8226402,33.4232685
73916,-111.8226402,33.4222685
99412,-111.8226402,33.4232685
11516,-111.8226402,33.4222685
30460,-111.8226402,33.4232685
81536,-111.8226402,33.4222685
7780,-111.8226402,33.4232685
14268,-111.8226402,33.4222685
43670,-111.8226402,33.4232685
107358,-111.8226402,33.4222685
94346,-111.8226402,33.4232685
72373,-111.8226402,33.4222685
90107,-111.8226402,33.4232685
23888,-111.8226402,33.4222685
105124,-111.907154,33.422392
27100,-111.546119,33.42314
4437,-111.546119,33.42414
31699,-111.546119,33.42314
34135,-111.737247,33.424961
87626,-112.244797,33.425146
104998,-111.937419,33.42551
5552,-111.937419,33.42651
84376,-111.937419,33.42551
81705,-111.937419,33.42651
43738,-111.937419,33.42551
102645,-111.937419,33.42651
82428,-111.937419,33.42551
30474,-111.937419,33.42651
79663,-111.937419,33.42551
41691,-111.937419,33.42651
5535,-111.937419,33.42551
50545,-111.937419,33.42651
98315,-111.937424,33.42551
27858,-111.937419,33.42551
15378,-111.937419,33.42651
77144,-111.937419,33.42551
8398,-111.937419,33.42651
47164,-111.937419,33.42551
67578,-111.9400054,33.4255104
73175,-111.9400054,33.4265104
55877,-111.9400054,33.4255104
54462,-111.9400054,33.4265104
88607,-111.9400054,33.4255104
61337,-111.9400054,33.4265104
4585,-111.9400054,33.4255104
60981,-111.9400054,33.4265104
55019,-111.9400054,33.4255104
97298,-111.9400054,33.4265104
90368,-111.9400054,33.4255104
72818,-111.9400054,33.4265104
43703,-111.9400054,33.4255104
32057,-111.9400054,33.4265104
89047,-111.9400054,33.4255104
74678,-111.9400054,33.4265104
75167,-111.9400054,33.4255104
24887,-111.9400054,33.4265104
4328,-111.9400054,33.4255104
49428,-111.9400054,33.4265104
